name,role,townHallLevel,trophies,donations,donationsReceived
Smok GG,member,12,29,313,72
Renato649,member,11,191,0,0
raucho gamer,admin,11,66,837,346
NOBRU OFC,member,11,51,177,426
亗Betinha亗,coLeader,11,40,584,848
vilela,member,10,0,0,0
matheuss,member,10,139,613,324
loki,member,11,83,0,0
ProMaster2,admin,9,40,31,0
CEO da Yoki,leader,11,0,282,643
PriviaPlayer,member,11,0,0,0
Vitall,member,9,0,36,62
tavares,member,10,200,275,73
Kennedy,member,9,29,33,31
Gean Insano,member,9,176,140,340
Garena,member,9,109,0,0
joaopedro,member,9,75,0,0
Gojo7,member,9,74,0,0
Rato,member,10,0,0,31
Enderson vr,member,9,0,37,0
Katrina,coLeader,8,0,0,0
raichu gamer,member,9,0,57,250
RicardoVr,member,8,0,0,0
Muando Athanasi,member,9,87,0,26
godoy,member,9,34,0,0
pretoGui,member,9,0,0,0
Jø4øZzïNhØ,member,9,0,0,0
satorugozo,member,9,0,0,0
Elise Matsunaga,coLeader,9,0,65,253
Zeni0003,member,10,0,0,0
Christian_X,member,8,0,0,15
Elton,member,16,0,513,0
VitorOne,member,9,0,31,0
Fittiger,member,13,0,31,122
drakzin,member,9,0,0,0
maelrushada,coLeader,10,0,0,0
